caseId,description,landmark
1971-135,"A case decided by the Supreme Court of the United States wherein petitioners challenged the constitutionality of the Uniform Commercial Code provisions of two states, Florida and Pennsylvania, which allowed for the summary seizure of a person&apos;s goods or chattels under a writ of replevin. The statutes were challenged under the Fourteenth Amendment. The Court held that the statutes acted as deprivations of plaintiff&apos;s property without due process.",
2009-088,"A case decided by the United States Supreme Court on June 28, 2010. The court held, on a 5-4 vote, that the method through which members of the Public Company Accounting Oversight Board, which supervises compliance with the Sarbanes_Oxley Act, are removed violates the United States Constitution&apos;s separation of powers.",
1978-074,"A case decided by the United States Supreme Court that invalidated a Louisiana statute allowing a conviction upon a nonunanimous verdict from a jury of six for a petty offense. The statute allowed for conviction if only five jurors agreed, and this was held to be a violation of the Sixth Amendment.",
1999-031,"A case filed in 1996 by Big Island rancher Harold &quot;Freddy&quot; Rice against the state of Hawaii and argued before the United States Supreme Court. In 2000, the Court ruled that the state could not restrict eligibility to vote in elections for the Board of Trustees of the Office of Hawaiian Affairs to persons of Native Hawaiian descent.",
1999-088,"A case heard by the Supreme Court of the United States dealing with a Nebraska law which made performing &quot;partial-birth abortion&quot; illegal, without regard for the health of the mother. Nebraska physicians who performed the procedure contrary to the law were subject to having their medical licenses revoked. The Court struck down the law, finding the Nebraska statute criminalizing &quot;partial birth abortion[s]&quot; violated the Due Process Clause of the United States Constitution, as interpreted in Planned Parenthood v. Casey and Roe v. Wade.",L
1977-050,A case heard by the United States Supreme Court that held that a Georgia state statute authorizing criminal conviction upon the unanimous vote of a jury of five was unconstitutional. The constitutional minimum size for a jury hearing petty criminal offenses was held to be six.,
1988-062,"a case in the_Supreme Court of the United States_holding that states may not tax federal pensions if they exempt their own state pensions from taxation. In the 1930s, the federal and state governments began to charge income tax on salaries paid to each other&apos;s employees. However, reciprocal treatment was required under the doctrine of_intergovernmental immunity. The Court&apos;s ruling extended the reciprocity to pensions, since they are a form of deferred compensation for services previously rendered by an employee.",
1948-059,A case in which the Court held a New York protectionist law which prohibits licensure to suppliers who are alleged will create _destructive competitionÓ in the local market to violate the Commerce Clause of the U.S. Constitution.,
1998-052,A case in which the Supreme Court of the United States discussed whether there is a constitutional right to travel from one state to another.,
1976-096,A case in which the Supreme Court of the United States found that an ordinance prohibiting the posting of &quot;for sale&quot; and &quot;sold&quot; signs on real estate within the town violated the First Amendment to the United States Constitution protections for commercial speech.,
1992-047,A case in which the Supreme Court of the United States held that a ban by the city of Cincinnati on the distribution of commercial material via news racks violated the First Amendment.,
2004-073,"A case in which the Supreme Court of the United States held that a Michigan law, which denied public counsel for defendants appealing a conviction on a plea, violated the equal protection and due process clauses of the Fourteenth Amendment to the United States Constitution. In a majority opinion written by Justice Ruth Bader Ginsburg, the Court affirmed that &quot;a State is required to appoint counsel for an indigent defendantês first-tier appeal as of right.",
1952-057,"A case in which the Supreme Court of the United States held that a municipal ordinance which was used to penalize a minister of Jehovah&apos;s Witnesses for preaching at a peaceful religious meeting in a public park, although other religious groups could conduct religious services there with impunity, violated the First and Fourteenth Amendments.",
1972-086,"A case in which the Supreme Court of the United States held that a state could tax tribal, off-reservation business activities but could not impose a tax on tribal land, which was exempt from all forms of property taxes.",
1975-122,A case in which the Supreme Court of the United States held that a state did not have the right to assess a tax on the property of a Native American (Indian) living on tribal land absent a specific Congressional grant of authority to do so.,
1992-093,"A case in which the Supreme Court of the United States held that an ordinance passed in Hialeah, Florida, forbidding the &quot;unnecessaryÓ killing of &quot;an animal in a public or private ritual or ceremony not for the primary purpose of food consumption&quot;, was unconstitutional.",L
1970-115,A case in which the Supreme Court of the United States held that Arizona&apos;s law suspending a driver&apos;s license was unconstitutional due to its conflict with the federal Bankruptcy Act under the Supremacy Clause of the Constitution.,
1994-040,"A case in which the Supreme Court of the United States held that Congress may not retroactively require federal courts to reopen final judgments. Writing for the Court, Justice Scalia asserted that such action amounted to an unauthorized encroachment by Congress upon the powers of the judiciary and therefore violated the constitutional principle of separation of powers.",
1980-065,"A case in which the Supreme Court of the United States held that Indiana&apos;s denial of unemployment compensation benefits to petitioner violated his First Amendment right to free exercise of religion, under Sherbert v. Verner.",
1976-088,A case in which the Supreme Court of the United States held that New Hampshire could not constitutionally require citizens to display the state motto upon their license plates when the state motto was offensive to their moral convictions.,
1969-052,A case in which the Supreme Court of the United States held that power of states to pass laws interfering with interstate commerce is limited when the law poses an undue burden on businesses.,
1977-134,A case in which the Supreme Court of the United States held that states could not discriminate against another state&apos;s articles of commerce.,
1975-143,A case in which the Supreme Court of the United States held that the Fair Labor Standards Act could not constitutionally be applied to state governments. The decision was overruled by the U.S. Supreme Court in Garcia v. San Antonio Metropolitan Transit Authority.,
1959-037,"A case in which the Supreme Court of the United States held that the First Amendment to the U.S. Constitution forbade state government to compel the disclosure of an organization&apos;s membership lists via a tax-exemption regulatory scheme. This is a companion case to NAACP v. Alabama (1958), which also held that NAACP membership records are protected by First Amendment freedom of association, and Talley v. California (1960), which held that Talley, a civil rights activist, could not be fined for an anonymous flyer. These cases help establish the right to privacy under the First Amendment, expanded on in Roe v. Wade (1973) and Brown v. Socialist Workers 74 Campaign Committee (1982)",
1962-150,A case in which the Supreme Court of the United States held that the Free Exercise Clause of the First Amendment required the government to demonstrate both a compelling interest and that the law in question was narrowly tailored before it denied unemployment compensation to someone who was fired because her job requirements substantially conflicted with her religion.,
1984-131,"A case in which the Supreme Court of the United States held that though portions of a law against obscenity and prostitution might be invalid, it would not be invalidated as a whole unless severing unconstitutional provisions would result in an unworkable law.",
1981-160,"A case in which the Supreme Court of the United States held that when the character of the governmental action is a permanent physical occupation of property, the government actions effects regulatory taking to the extent of the occupation, without regard to whether the action achieves an important public benefit or has only minimal economic impact on the owner. In doing so, it established the permanent physical presence test for regulatory takings.",
1972-087,A case in which the Supreme Court of the United States holding that Arizona has no jurisdiction to impose a tax on the income of Navajo Indians residing on the Navajo Reservation and whose income is wholly derived from reservation sources.,
1981-015,"A case in which the Supreme Court of the United States invalidated a California law that set limits on contributions to ballot issue campaigns. The ruling relies heavily on the Court&apos;s earlier decisions in Buckley v. Valeo, holding that limits on contributions to political candidates implicate the First Amendment, and First National Bank of Boston v. Bellotti, holding that the state governments have no compelling interest in limiting spending on speech about ballot issues.",
1967-051,A case in which the Supreme Court of the United States invalidated an Oregon statute for unconstitutionally intruding into the federal realm of foreign affairs even though the statute did not conflict with any federal treaty or statute.,
2000-005,"A case in which the Supreme Court of the United States limited the power of law enforcement to conduct suspicionless searches, specifically, using drug-sniffing dogs at roadblocks. Previous Supreme Court decisions had given the police power to create roadblocks for the purposes of border security (United States v. Martinez-Fuerte), and removing drunk drivers from the road (Michigan Dept. of State Police v. Sitz). This decision stated that the power was limited to situations in which the search was &quot;designed to serve special needs, beyond the normal need for law enforcement.&quot; The Court drew a line on check point programs that followed Police v. Sitz (1990) &quot;whose primary purpose&quot; is &quot;to detect evidence of ordinary criminal wrongdoing&quot;. The Court refused to &quot;credit the &apos;general interest in crime control&apos; as justification for a regime of suspicionless stops.&quot;",
2001-070,"A case in which the Supreme Court of the United States ruled 6-3 that executing people with intellectual disabilities violates the Eighth Amendment&apos;s ban on cruel and unusual punishments, but states can define who has intellectual disability. Twelve years later in Hall v. Florida the U.S. Supreme Court narrowed the discretion under which U.S. states can designate an individual convicted of murder as too intellectually incapacitated to be executed.",L
1965-010,"A case in which the Supreme Court of the United States ruled on November 15, 1965, that persons (in this case, William Albertson) believed to be members of the Communist Party of the United States of America could not be required to register as party members with the Subversive Activities Control Board because the information which party members were required to submit could form the basis of their prosecution for being party members, which was then a crime, and therefore deprived them of their self-incrimination rights under the Fifth Amendment to the United States Constitution.",
1997-049,"A case in which the Supreme Court of the United States ruled that if there is to be an award of statutory damages in a copyright infringement case, then the opposing party has the right to demand a jury trial.",
1994-059,"A case in which the Supreme Court of the United States ruled that states cannot impose qualifications for prospective members of the U.S. Congress stricter than those specified in the Constitution. The decision invalidated the Congressional term limit provisions of 23 states. The parties to the case were U.S. Term Limits, a non-profit advocacy group, and Arkansas politician Ray Thornton, among others.",L
1983-108,A case in which the Supreme Court of the United States ruled that the Equal Protection Clause prohibited the state of Texas from barring noncitizens from applying for commission as a notary public.,
1981-120,"A case in which the Supreme Court of the United States struck down both a state statute denying funding for education to undocumented immigrant children in the United States and a municipal school district&apos;s attempt to charge an annual $1,000 tuition fee for each student to compensate for lost state funding. The Court found that any state restriction imposed on the rights afforded to children based on their immigration status must be examined under an intermediate scrutiny standard to determine whether it furthers a &quot;substantial&quot; government interest. The application of Plyler v. Doe has been limited to K-12 schooling. Other court cases and legislation such as Toll v. Moreno 441 U.S. 458 (1979) and the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 have allowed some states to pass statutes that deny illegal alien students eligibility for in-state tuition, scholarships, or enrollment at public colleges and universities.",
1976-149,"A case in which the Supreme Court of the United States unanimously struck down a North Carolina law prohibiting the sale of apples in closed containers marked with any apple grade other than the United States Department of Agriculture grade. However, displaying the USDA grade was not required. Washington state, a major apple producer, used apple standards superior to those used by the USDA. The Court found that North Carolina&apos;s law violated the Commerce Clause by discriminating against Washington state apple producers while working to the advantage of local North Carolina apple growers.",
1959-043,"A case in which the Supreme Court of the United States voided a Los Angeles city ordinance which forbade the distribution of any handbills in any place under any circumstances if the handbills did not contain the name and address of the person for whom it was prepared, distributed, or sponsored. Talley is often cited for the proposition that identification requirements burden speech.",
1999-069,"A case in which the Supreme Court of the United States, citing a constitutional right of parents to direct the upbringing of their children, struck down a Washington state law that allowed any third party to petition state courts for child visitation rights over parental objections.",
1965-079,"A case in which the U.S. Supreme Court found that Virginia&apos;s poll tax was unconstitutional under the equal protection clause of the 14th Amendment. In the late 19th and early 20th centuries, eleven southern states established poll taxes as part of their disenfranchisement of most blacks and many poor whites. The Twenty-fourth Amendment to the United States Constitution (1964) prohibited poll taxes in federal elections; five states continued to require poll taxes for voters in state elections. By this ruling, the Supreme Court banned the use of poll taxes in state elections.",L
1986-098,A case in which the U.S. Supreme Court held that a statute ordering the escheat of fractional interests in real property which had been bequeathed to members of the Oglala Sioux tribe was an unconstitutional taking which required just compensation.,
1982-112,A case in which the United States Supreme Court affirmed its abortion rights jurisprudence. The case struck down several provisions of an Ohio abortion law,
2001-077,"A case in which the United States Supreme Court applied the rule of Apprendi v. New Jersey, to capital sentencing schemes, holding that the Sixth Amendment requires a jury to find the aggravating factors necessary for imposing the death penalty. Ring overruled a portion of Walton v. Arizona, that had previously rejected this contention.",
2014-037,"A case in which the United States Supreme Court clarified when municipalities may impose content-based restrictions on signage. The case also clarified the level of constitutional scrutiny that should be applied to content-based restrictions on speech. In 2005, Gilbert, Arizona adopted a municipal sign ordinance that regulated the manner in which signs could be displayed in public areas. The ordinance imposed stricter limitations on signs advertising religious services than signs that displayed &quot;political&quot; or &quot;ideological&quot; messages. When the town&apos;s Sign Code compliance manager cited a local church for violating the ordinance, the church filed a lawsuit in which they argued the town&apos;s sign regulations violated its First Amendment right to the freedom of speech.",
1981-176,"A case in which the United States Supreme Court decided that a Nebraska statute forbidding commercial exportation of water from Nebraska was unconstitutional in that it violated the dormant commerce clause. The boundary between the states of Nebraska and Colorado passed through a farm owned by Sporhase. He drilled a well in Nebraska and used the water to irrigate his land on both sides of the boundary. Under the 11th Amendment, he could not sue the state of Nebraska in a federal district court; consequently his suit had to proceed in the state courts in Nebraska until he petitioned the United States Supreme Court to review it.",
1971-102,A case in which the United States Supreme Court found that Amish children could not be placed under compulsory education past 8th grade. The parents&apos; fundamental right to freedom of religion was determined to outweigh the state&apos;s interest in educating its children. The case is often cited as a basis for parents&apos; right to educate their children outside of traditional private or public schools.,L
1986-129,A case in which the United States Supreme Court held that an ordinance prohibiting all &quot;First Amendment activities&quot; in the Los Angeles International Airport was facially unconstitutional due to its overbreadth.,
1999-083,A case in which the United States Supreme Court held that California&apos;s blanket primary violates a political party&apos;s First Amendment freedom of association.,
1988-026,"A case in which the United States Supreme Court held that the city of Richmond&apos;s minority set-aside program, which gave preference to minority business enterprises (MBE) in the awarding of municipal contracts, was unconstitutional under the Equal Protection Clause. The Court found that the city failed to identify both the need for remedial action and that other non-discriminatory remedies would be insufficient.",
1991-098,"A case in which the United States Supreme Court limited the ability of local governments to charge fees for the use of public places for private activities. By 5-4, the court ruled that an ordinance allowing the local government to set varying fees for different events violated the First Amendment due to the lack of &quot;narrowly drawn, reasonable, and definite standards&quot; governing the amount of the fee.",
1993-090,A case in which the United States Supreme Court ruled on the constitutionality of a school district created with boundaries that matched that of a religious community.,
1964-014,"A case in which the United States Supreme Court ruled unanimously that a cohabitation law of Florida, part of the state&apos;s anti-miscegenation laws, was unconstitutional. The law prohibited habitual cohabitation by two unmarried people of opposite sex, if one was black and the other was white. The decision overturned Pace v. Alabama (1883), which had declared such statutes constitutional. It did not overturn the related Florida statute that prohibited interracial marriage between whites and blacks. Such laws were declared unconstitutional in 1967 in Loving v. Virginia.",
2003-006,"A case in which the United States Supreme Court upheld the constitutionality of most of the Bipartisan Campaign Reform Act (BCRA), often referred to as the McCain_Feingold Act. The case takes its name from Senator Mitch McConnell, Republican of Kentucky, and the Federal Election Commission, the federal agency that oversees U.S. campaign finance laws.",
1955-066,A case in which United States Supreme Court held that a criminal defendant may not be denied the right to appeal by inability to pay for a trial transcript.,
1999-085,"A case of the Supreme Court of the United States, decided on June 28, 2000, that held that the constitutional right to freedom of association allowed the Boy Scouts of America (BSA) to exclude a homosexual person from membership in spite of a state law requiring equal treatment of homosexuals in public accommodations. More generally, the court ruled that a private organization such as the BSA may exclude a person from membership when &quot;the presence of that person affects in a significant way the group&apos;s ability to advocate public or private viewpoints&quot;. In a five to four decision, the Supreme Court ruled that opposition to homosexuality is part of BSA&apos;s &quot;expressive message&quot; and that allowing homosexuals as adult leaders would interfere with that message",L
1949-085,A case that reversed a lower court decision upholding the efforts of the state-supported University of Oklahoma to adhere to the state law requiring African-Americans to be provided graduate or professional education on a segregated basis.,
1956-128,"A case where Doud and two partners sold &apos;Bondified&apos; brand money orders in Illinois, directly or through agents such as drug and grocery stores. A state law required any seller or issuer of money orders to secure a license and submit to state regulation, except that the statute, by name, explicitly exempted the American Express Company from these requirements. Doud, his partners and one of his agents, fearing prosecution under the law, sued the state, arguing the law was unconstitutional. The Supreme Court agreed, finding the special exemption only for American Express violated the Equal Protection Clause of the Fourteenth Amendment.",
1984-065,"A civil case in which the Supreme Court of the United States held that, under the Fourth Amendment, when a law enforcement officer is pursuing a fleeing suspect, the officer may not use deadly force to prevent escape unless &quot;the officer has probable cause to believe that the suspect poses a significant threat of death or serious physical injury to the officer or others.&quot; It was found that use of deadly force to prevent escape is an unreasonable seizure under the Fourth Amendment, in the absence of probable cause that the fleeing suspect posed a physical danger.",
2004-045,"A court case decided by the Supreme Court of the United States in a 5_4 decision that ruled that laws in New York and Michigan that permitted in-state wineries to ship wine directly to consumers, but prohibited out-of-state wineries from doing the same, were unconstitutional. The case was unusual because the arguments centered on the rarely invoked 21st Amendment to the Constitution, ratified in 1933, which ended Prohibition in the United States.",
1974-112,"A criminal case in which a unanimous court struck down a state statute requiring a defendant to prove the defense of provocation to downgrade a murder conviction to manslaughter. Previous common law, such as in Commonwealth v. York (1845), allowed such burden on the defense.",
1971-170,"A criminal case in which the United States Supreme Court struck down all death penalty schemes in the United States in a 5_4 decision, with each member of the majority writing a separate opinion. Following Furman, in order to reinstate the death penalty, states had to at least remove arbitrary and discriminatory effects, to satisfy the Eighth Amendment to the United States Constitution.",L
1967-135,"A criminal prohibition against draft-card burning does not violate the First Amendment because its effect on speech is only incidental, and it is justified by the significant governmental interest in maintaining an efficient and effective military draft system.",L
1998-091,"A decision by the Supreme Court of the United States about whether the United States Congress may use its Article One powers to abrogate a state&apos;s sovereign immunity from suits in its own courts, thereby allowing citizens to sue a state in state court without the state&apos;s consent.",
2010-024,"A decision by the Supreme Court of the United States concerning whether a United States District Court properly handled the sentencing of a former methamphetamine dealer. He was originally sentenced to 24 months in prison, far shorter than what federal guidelines generally specify for crimes of that nature. Prosecutors appealed the case to the United States Court of Appeals for the Eighth Circuit, which remanded the case back to the United States District Court for the Northern District of Iowa, which affirmed the original sentence after testimony relating the defendant&apos;s rehabilitation. The case was appealed to the Eighth Circuit again, and was again remanded. A different District Court judge gave him a 65-month sentence. The defendant then brought the case back to the Eighth Circuit, which confirmed the later ruling, and to then to the Supreme Court. Sonia Sotomayor wrote the opinion of the court, which ruled in favor of the defendant.",
1992-086,"A decision by the Supreme Court of the United States concerning whether the Free Speech Clause of the First Amendment was offended by a school district that refused to allow a church access to school premises to show films dealing with family and child-rearing issues faced by parents. In a unanimous decision, the court concluded that it was.",
2008-069,"A decision by the Supreme Court of the United States involving the tonnage clause of the United States Constitution.The City of Valdez in Alaska imposed a property tax that, in practice, applied only to large oil tankers. Polar Tankers, a ConocoPhillips subsidiary, sued, arguing that the tax violated the Tonnage Clause of the Constitution, which forbids a state, &quot;without the Consent of Congress, [to] lay any Duty of Tonnage.&quot; The Supreme Court agreed with Polar Tankers.",
1998-090,A decision by the Supreme Court of the United States relating to the doctrine of sovereign immunity.,
1998-089,"A decision by the Supreme Court of the United States relating to the doctrine of sovereign immunity. Florida Prepaid was a companion case to the similarly named (but not to be confused) College Savings Bank v. Florida Prepaid Postsecondary Education Expense Board, 527 U.S. 666 (1999). Where College Savings Bank was an action brought under the Lanham Act, Florida Prepaid was a concurrent action brought under the Patent and Plant Variety Protection Remedy Clarification Act. Although it was unnecessary to reach the question of whether Congress had validly abrogated Florida&apos;s sovereign immunity in College Savings Bank, the question was unavoidable in Florida Prepaid.",
1984-047,"A decision by the Supreme Court of the United States striking down expenditure prohibitions of the Federal Election Campaign Act of 1971 (FECA), which regulates the fundraising and spending in political campaigns. The FECA is the primary law that places regulations on campaign financing by limiting the amount that may be contributed. The Act established that no independent political action committee may contribute more than $1,000 to any given presidential candidate in support of a campaign.",
1988-124,A decision by the Supreme Court of the United States that invalidated prohibitions on desecrating the American flag enforced in 48 of the 50 states. Justice William Brennan wrote for a five-justice majority in holding that the defendant Gregory Lee Johnson&apos;s act of flag burning was protected speech under the First Amendment to the United States Constitution. Johnson was represented by attorneys David D. Cole and William Kunstler.,L
2002-084,"A decision by the Supreme Court of the United States, which held that California&apos;s retroactive extension of the statute of limitations for sexual offenses committed against minors was an unconstitutional ex post facto law.",
1998-005,A decision by the United States Supreme Court which ruled that the Fourth Amendment prohibits a police officer from further searching a vehicle which was stopped for a minor traffic offense once the officer has written a citation for the offense.,
2007-072,"A decision by the United States Supreme Court, which held that Sections 319(a) and (b) of the Bipartisan Campaign Reform Act of 2002 (popularly known as the McCain-Feingold Act) unconstitutionally infringed on a candidate&apos;s First Amendment rights.",
1976-061,"A decision by the United States Supreme Court, which held that the different treatment of men and women mandated by 42 U.S.C. _ 402(f)(1)(D) constituted invidious discrimination against female wage earners by affording them less protection for their surviving spouses than is provided to male employees, and therefore violated the Due Process Clause of the Fifth Amendment to the United States Constitution. The case was brought by a widower who was denied survivor benefits on the grounds that he had not been receiving at least one-half support from his wife when she died. Justice Brennan delivered the opinion of the court, ruling unconstitutional the provision of the Social Security Act which set forth a gender-based distinction between widows and widowers, whereby Social Security Act survivors benefits were payable to a widower only if he was receiving at least half of his support from his late wife, while such benefits based on the earnings of a deceased husband were payable to his widow regardless of dependency. The Court found that this distinction deprived female wage earners of the same protection that a similarly situated male worker would have received, violating due process and equal protection.",
1974-070,"A decision by the United States Supreme Court, which unanimously held that the gender-based distinction under 42 U.S.C. _ 402(g) of the Social Security Act of 1935 which permitted widows but not widowers to collect special benefits while caring for minor children violated the right to equal protection secured by the Due Process Clause of the Fifth Amendment to the United States Constitution.",
2000-028,"A decision of the Supreme Court of the United States concerning the constitutionality of funding restrictions imposed by the United States Congress. At issue were restrictions on the Legal Services Corporation (LSC), a private, non-profit corporation established by Congress. The restrictions prohibited LSC attorneys from representing clients attempting to amend (or challenge) existing welfare law. The case was brought by Carmen Velazquez, whose LSC-funded attorneys sought to challenge existing welfare provisions, believing it was the only way to get Velazquez financial relief. The Court ruled that this specific restriction violated the free speech guarantees of the First Amendment to the United States Constitution. Because LSC facilitated &quot;private&quot; speech that of its grantees the restrictions did not simply regulate government speech. Because the restrictions blocked attempts to change only a specific area of law, the Court held, they could not be considered viewpoint-neutral; the government is prohibited from making such viewpoint-based restrictions of private speech.",
1967-117,"A decision of the Supreme Court of the United States. This decision deals primarily with the civil rights of illegitimate children, specifically in regards to their ability to sue on a deceased parent&apos;s behalf. It held that the right of recovery may not be denied merely because a person is the illegitimate child of the deceased, because such a law would violate the Equal Protection Clause of the Fourteenth Amendment.",
1988-034,"A decision of the United States Supreme Court holding a state anti-plug molding law preempted because it partially duplicated and therefore interfered with the balance Congress had struck by federal patent law. The decision reaffirmed the Supreme Court&apos;s earlier decision in Sears, Roebuck & Co. v. Stiffel Co. (1964), which held a state unfair competition law preempted on the same ground.",
1972-049,"A decision of the United States Supreme Court overturning the abortion law of Georgia. The Supreme Court&apos;s decision was released on January 22, 1973, the same day as the decision in the better-known case of Roe v. Wade, 410 U.S. 113 (1973).",
1985-131,A defendant has the right to a competency evaluation before being executed.,L
1959-066,A defendant has the right to a competency evaluation before proceeding to trial.,L
2008-059,A defendant may waive his or her right to counsel during a police interrogation even if the interrogation begins after the defendant&apos;s assertion of his or her right to counsel at an arraignment or similar proceeding.,L
1992-109,A defendant who is competent to stand trial is automatically competent to plead guilty or waive the right to legal counsel.,L
2002-039,"A First Amendment case decided in the Supreme Court of the United States. Three defendants were convicted in two separate cases of violating a Virginia statute against cross burning. In this case, the Court struck down that statute to the extent that it considered cross burning as prima facie evidence of intent to intimidate. Such a provision, the Court argued, blurs the distinction between proscribable &quot;threats of intimidation&quot; and the Ku Klux Klan&apos;s protected &quot;messages of shared ideology.&quot; However, cross-burning can be a criminal offense if the intent to intimidate is proven.",
1993-068,"A free speech decision of the Supreme Court of the United States. It was a case challenging the legality of a city ordinance restricting the placement of signs in the yards of residents of Ladue, Missouri.",
1985-144,A Georgia law that criminalizes certain acts of private sexual conduct between homosexual persons does not violate the Fourteenth Amendment (overruled by Lawrence v. Texas (2003)).,L
1993-081,A government agency may not take property in exchange for benefits that are unrelated to the agency&apos;s interest in the property.,L
1983-134,"A government agency&apos;s interpretation of its own mandate from Congress is entitled to judicial deference if the authority is ambiguous and the agency&apos;s interpretation is permissible under the statute, regardless as to whether it is the best possible interpretation or an interpretation the Court would have made.",L
2001-080,"A government program that provides tuition vouchers for students to attend a private or religious school of their parents&apos; choosing is constitutional because the vouchers are neutral toward religion and, therefore, do not violate the Establishment Clause.",L
2010-083,"A landmark case by the Supreme Court of the United States that struck down a 2005 California law banning the sale of certain violent video games to children without parental supervision. In a 7_2 decision, the Court upheld the lower court decisions and nullified the law, ruling that video games were protected speech under the First Amendment as other forms of media. The ruling was seen as a significant victory for the video game industry. Several of the Court&apos;s justices suggested that the issue might need to be re-examined in the future, considering the changing nature of video games and their continuously improving technology.",L
1964-121,"A landmark case in the United States about access to contraception. The case involved a Connecticut &quot;Comstock law&quot; that prohibited any person from using &quot;any drug, medicinal article or instrument for the purpose of preventing conception.&quot; The court held that the statute was unconstitutional, and that &quot;the clear effect of [the Connecticut law ...] is to deny disadvantaged citizens ... access to medical assistance and up-to-date information in respect to proper methods of birth control.&quot; By a vote of 7_2, the Supreme Court invalidated the law on the grounds that it violated the &quot;right to marital privacy&quot;, establishing the basis for the right to privacy with respect to intimate practices. This and other cases view the right to privacy as a right to &quot;protect[ion] from governmental intrusion.&quot;",L
